Runtime,Production Budget,Domestic Total Gross,Title,Genre,Distributor,MPAA Rating,Release Date
1 hrs. 37 min.,N/A,"$95,461,682 ",Arthur (1981),Romantic Comedy,Warner Bros.,PG,17-Jul-81
1 hrs. 37 min.,N/A,"$46,462,469 ",Arthur Christmas (2011),Animation,Sony / Columbia,PG,23-Nov-11
1 hrs. 42 min.,$20 million,"$4,627,375 ",Atlas Shrugged: Part I (2011),Drama,Rocky Mountain Pictures,PG-13,15-Apr-11
1 hrs. 29 min.,$20 million,"$100,292,856 ",Bad Teacher (2011),Comedy,Sony / Columbia,R,24-Jun-11
1 hrs. 56 min.,$70 million,"$83,552,429 ",Battle: Los Angeles (2011),Sci-Fi Action,Sony / Columbia,PG-13,11-Mar-11
1 hrs. 35 min.,$17 million,"$27,865,571 ",Beastly (2011),Fantasy,CBS Films,PG-13,4-Mar-11
1 hrs. 31 min.,$21 million,"$970,816 ",The Beaver (2011),Comedy / Drama,Summit Entertainment,PG-13,6-May-11
1 hrs. 44 min.,$3.2 million,"$5,790,894 ",Beginners (2011),Drama,Focus Features,R,3-Jun-11
1 hrs. 37 min.,$10 million,"$1,759,252 ",A Better Life (2011),Drama,Summit Entertainment,PG-13,24-Jun-11
1 hrs. 47 min.,$32 million,"$37,915,414 ","Big Mommas: Like Father, Like Son (2011)",Action Comedy,Fox,PG-13,18-Feb-11
1 hrs. 40 min.,$41 million,"$7,204,138 ",The Big Year (2011),Comedy,Fox,PG,14-Oct-11
2 hrs. 5 min.,$32.5 million,"$169,106,725 ",Bridesmaids (2011),Comedy,Universal,R,13-May-11
1 hrs. 28 min.,N/A,"$4,038,912 ",Buck (2011),Documentary,IFC,PG,17-Jun-11
1 hrs. 36 min.,$10 million,"$2,529,395 ",Bucky Larson: Born to Be a Star (2011),Comedy,Sony / Columbia,R,9-Sep-11
2 hrs. 5 min.,$140 million,"$176,654,505 ",Captain America: The First Avenger (2011),Action / Adventure,Paramount,PG-13,22-Jul-11
2 hrs. 10 min.,N/A,"$60,158 ",Carnage (2003),Unknown,Wellspring,Unrated,5-Sep-03
1 hrs. 53 min.,$200 million,"$191,452,396 ",Cars 2 (2011),Animation,Buena Vista,G,24-Jun-11
1 hrs. 26 min.,N/A,"$6,861,102 ",Cedar Rapids (2011),Comedy,Fox Searchlight,R,11-Feb-11
1 hrs. 41 min.,$52 million,"$37,081,475 ",The Change-Up (2011),Comedy,Universal,R,5-Aug-11
1 hrs. 43 min.,N/A,The Chaperone (2011),Family Comedy,Samuel Goldwyn,PG-13,18-Feb-11,
1 hrs. 47 min.,$40 million,"$36,665,854 ",Colombiana (2011),Action,TriStar,PG-13,26-Aug-11
2 hrs. 9 min.,N/A,"$39,565,475 ",Conan the Barbarian (1982),Action Fantasy,Universal,R,14-May-82
2 hrs. 2 min.,$25 million,"$11,538,204 ",The Conspirator (2011),Historical Drama,Roadside Attractions,PG-13,15-Apr-11
1 hrs. 45 min.,$60 million,"$75,658,097 ",Contagion (2011),Action Thriller,Warner Bros.,PG-13,9-Sep-11
2 hrs. 10 min.,$2 million,"$34,522,221 ",Courageous (2011),Drama,TriStar,PG-13,30-Sep-11
1 hrs. 47 min.,$50 million,"$84,351,197 ","Crazy, Stupid, Love. (2011)",Comedy,Warner Bros.,PG-13,29-Jul-11
1 hrs. 29 min.,$30 million,"$21,443,494 ",The Darkest Hour (2011),Sci-Fi Thriller,Summit Entertainment,PG-13,25-Dec-11
1 hrs. 53 min.,$20 million,"$31,177,548 ",The Debt (2011),Drama / Thriller,Focus Features,R,31-Aug-11
1 hrs. 55 min.,N/A,"$82,584,160 ",The Descendants (2011),Comedy / Drama,Fox Searchlight,R,16-Nov-11
1 hrs. 48 min.,$19.1 million,"$1,361,512 ",The Devil's Double (2011),Drama,Lionsgate,R,29-Jul-11
1 hrs. 36 min.,$21 million,"$52,698,535 ",Diary of a Wimpy Kid: Rodrick Rules (2011),Comedy,Fox,PG,25-Mar-11
1 hrs. 58 min.,$70 million,"$48,475,290 ",The Dilemma (2011),Comedy,Universal,PG-13,14-Jan-11
1 hrs. 30 min.,N/A,"$55,125 ",Dirty Girl (2011),Drama,Weinstein Company,R,7-Oct-11
1 hrs. 52 min.,$37 million,"$72,286,779 ",Dolphin Tale (2011),Family,Warner Bros.,PG,23-Sep-11
1 hrs. 40 min.,$25 million,"$24,046,682 ",Don't Be Afraid of the Dark (2011),Horror,FilmDistrict,R,26-Aug-11
1 hrs. 38 min.,N/A,"$137,921 ",The Double (2011),Thriller,Image Entertainment,PG-13,28-Oct-11
1 hrs. 32 min.,$50 million,"$21,302,340 ",Dream House (2011),Thriller,Universal,PG-13,30-Sep-11
1 hrs. 39 min.,N/A,"$15,084 ",Drive (1992),Unknown,MEI Releasing,Unrated,7-Aug-92
1 hrs. 44 min.,N/A,"$10,721,033 ",Drive Angry (2011),Action,Summit Entertainment,R,25-Feb-11
1 hrs. 47 min.,N/A,"$1,186,538 ",Dylan Dog: Dead of Night (2011),Horror Comedy,Omni Lab/Freestyle Releasing,PG-13,29-Apr-11
1 hrs. 54 min.,$25 million,"$19,490,041 ",The Eagle (2011),Period Action,Focus Features,PG-13,11-Feb-11
1 hrs. 40 min.,$5 million,"$2,711,643 ",Everything Must Go (2011),Comedy / Drama,Roadside Attractions,R,13-May-11
2 hrs. 10 min.,$125 million,"$209,837,675 ",Fast Five (2011),Action,Universal,PG-13,29-Apr-11
1 hrs. 35 min.,$40 million,"$42,587,643 ",Final Destination 5 (2011),Horror,Warner Bros. (New Line),R,12-Aug-11
1 hrs. 47 min.,$8.2 million,"$80,035,402 ",Footloose (1984),Music Drama,Paramount,PG,17-Feb-84
2 hrs. 0 min.,$35 million,"$55,802,754 ",Friends with Benefits (2011),Comedy,Sony / Screen Gems,R,22-Jul-11
1 hrs. 46 min.,N/A,"$24,922,237 ",Fright Night (1985),Horror Comedy,Columbia,R,2-Aug-85
1 hrs. 47 min.,N/A,"$3,033,623 ",From Prada to Nada (2011),Romantic Comedy,Lionsgate,PG-13,28-Jan-11
1 hrs. 31 min.,"$1,000,000 ","$568,662 ",The Future (2011),Drama,Roadside Attractions,R,29-Jul-11
2 hrs. 32 min.,$13 million,"$10,095,170 ",The Girl with the Dragon Tattoo (2010),Thriller,Music Box Films,R,19-Mar-10
1 hrs. 24 min.,N/A,"$99,967,670 ",Gnomeo and Juliet (2011),Animation,Buena Vista,G,11-Feb-11
1 hrs. 35 min.,N/A,"$200,227 ",A Good Old Fashioned Orgy (2011),Comedy,Samuel Goldwyn,R,2-Sep-11
1 hrs. 30 min.,N/A,"$5,206 ",The Good Doctor (2012),Thriller,Magnolia,PG-13,31-Aug-12
1 hrs. 48 min.,$120 million,"$98,780,042 ",The Green Hornet (2011),Action / Adventure,Sony / Columbia,PG-13,14-Jan-11
1 hrs. 45 min.,$200 million,"$116,601,172 ",Green Lantern (2011),Action / Adventure,Warner Bros.,PG-13,17-Jun-11
1 hrs. 38 min.,$36 million,"$45,060,734 ",Hall Pass (2011),Comedy,Warner Bros. (New Line),R,25-Feb-11
1 hrs. 51 min.,$30 million,"$40,259,119 ",Hanna (2011),Adventure,Focus Features,PG-13,8-Apr-11
1 hrs. 45 min.,N/A,"$64,006,466 ",Happy Feet Two (2011),Animation,Warner Bros.,PG,18-Nov-11
1 hrs. 39 min.,N/A,"$1,103,037 ",The Heart Specialist (2011),Romantic Comedy,Freestyle Releasing,R,14-Jan-11
2 hrs. 17 min.,$25 million,"$169,708,112 ",The Help (2011),Drama,Buena Vista,PG-13,10-Aug-11
1 hrs. 49 min.,$7 million,"$382,946 ",Hesher (2011),Comedy / Drama,Wrekin Hill,R,13-May-11
1 hrs. 49 min.,$2 million,"$841,733 ",Higher Ground (2011),Drama,Sony Classics,R,26-Aug-11
1 hrs. 25 min.,$30 million,"$10,143,779 ",Hoodwinked Too! Hood vs. Evil (2011),Animation,Weinstein Company,PG,29-Apr-11
1 hrs. 30 min.,$63 million,"$108,085,305 ",Hop (2011),Comedy,Universal,PG,1-Apr-11
1 hrs. 40 min.,$35 million,"$117,538,559 ",Horrible Bosses (2011),Comedy,Warner Bros. (New Line),R,8-Jul-11
2 hrs. 7 min.,N/A,"$73,864,507 ",Hugo (2011),Family Adventure,Paramount,PG,23-Nov-11
1 hrs. 44 min.,$60 million,"$55,100,437 ",I Am Number Four (2011),Sci-Fi Adventure,Buena Vista,PG-13,18-Feb-11
1 hrs. 35 min.,$24 million,"$9,662,284 ",I Don't Know How She Does It (2011),Comedy,Weinstein Company,PG-13,16-Sep-11
1 hrs. 42 min.,N/A,"$40,962,534 ",The Ides of March (2011),Thriller,Sony / Columbia,R,7-Oct-11
1 hrs. 50 min.,$75 million,"$83,504,017 ",Immortals (2011),Fantasy Drama,Relativity,R,11-Nov-11
1 hrs. 49 min.,$40 million,"$37,520,095 ",In Time (2011),Sci-Fi Thriller,Fox,PG-13,28-Oct-11
1 hrs. 34 min.,$175 million,"$356,461,711 ",Inside Out (2015),Animation,Buena Vista,PG,19-Jun-15
1 hrs. 38 min.,$1.5 million,"$54,009,150 ",Insidious (2011),Horror,FilmDistrict,PG-13,1-Apr-11
2 hrs. 17 min.,$35 million,"$37,306,030 ",J. Edgar (2011),Drama,Warner Bros.,R,9-Nov-11
1 hrs. 31 min.,$79 million,"$74,158,157 ",Jack and Jill (2011),Comedy,Sony / Columbia,PG,11-Nov-11
"$6,840 ",1 hrs. 46 min.,N/A,Janie Jones (2011),Drama,Tribeca Film,Unrated,28-Oct-11
1 hrs. 53 min.,$6.6 million,"$37,295,394 ",Jumping the Broom (2011),Comedy,TriStar,PG-13,6-May-11
1 hrs. 45 min.,$13 million,"$73,013,910 ",Justin Bieber: Never Say Never (2011),Documentary,Paramount,G,11-Feb-11
1 hrs. 46 min.,N/A,"$1,188,194 ",Kill the Irishman (2011),Action / Crime,Anchor Bay Films,R,11-Mar-11
1 hrs. 40 min.,$70 million,"$25,124,966 ",Killer Elite (2011),Action Thriller,Open Road Films,R,23-Sep-11
1 hrs. 31 min.,$150 million,"$165,249,063 ",Kung Fu Panda 2 (2011),Animation,Paramount (DreamWorks),PG,26-May-11
1 hrs. 39 min.,$30 million,"$35,608,245 ",Larry Crowne (2011),Romantic Comedy,Universal,PG-13,1-Jul-11
1 hrs. 30 min.,N/A,"$252,788 ",Life in a Day (2011),Documentary,National Geographic Entertainment,PG-13,29-Jul-11
1 hrs. 29 min.,N/A,"$3,395,391 ",Like Crazy (2011),Romance,Paramount Vantage,PG-13,28-Oct-11
1 hrs. 45 min.,$27 million,"$79,249,455 ",Limitless (2011),Action Thriller,Relativity,PG-13,18-Mar-11
1 hrs. 59 min.,$40 million,"$58,009,200 ",The Lincoln Lawyer (2011),Crime Drama,Lionsgate,R,18-Mar-11
3 hrs. 0 min.,N/A,"$453,507 ",Lucky (2005),Foreign,Eros,Unrated,8-Apr-05
2 hrs. 3 min.,$30 million,"$538,690 ",Machine Gun Preacher (2011),Action,Relativity,R,23-Sep-11
N/A,$14 million,"$46,495 ",Margaret (2011),Drama,Fox Searchlight,R,30-Sep-11
1 hrs. 49 min.,$3.5 million,"$5,354,039 ",Margin Call (2011),Thriller,Roadside Attractions,R,21-Oct-11
1 hrs. 28 min.,$150 million,"$21,392,758 ",Mars Needs Moms (2011),Animation,Buena Vista,PG,11-Mar-11
2 hrs. 0 min.,N/A,"$2,990,625 ",Martha Marcy May Marlene (2011),Drama,Fox Searchlight,R,21-Oct-11
1 hrs. 40 min.,$40 million,"$29,121,498 ",The Mechanic (2011),Action,CBS Films,R,28-Jan-11
1 hrs. 28 min.,$17 million,"$56,817,045 ",Midnight in Paris (2011),Romantic Comedy,Sony Classics,PG-13,20-May-11
2 hrs. 6 min.,$50 million,"$75,605,492 ",Moneyball (2011),Sports Drama,Sony / Columbia,PG-13,23-Sep-11
1 hrs. 49 min.,$20 million,"$23,186,769 ",Monte Carlo (2011),Romantic Comedy,Fox,PG,1-Jul-11
1 hrs. 35 min.,$55 million,"$68,224,452 ",Mr. Popper's Penguins (2011),Family Comedy,Fox,PG,17-Jun-11
2 hrs. 0 min.,$45 million,"$88,631,237 ",The Muppets (2011),Family Comedy,Buena Vista,PG,23-Nov-11
1 hrs. 45 min.,N/A,"$258,223 ",The Music Never Stopped (2011),Drama,Roadside Attractions,PG,18-Mar-11
1 hrs. 57 min.,$56 million,"$54,544,638 ",New Year's Eve (2011),Romantic Comedy,Warner Bros. (New Line),PG-13,9-Dec-11
1 hrs. 50 min.,$25 million,"$70,662,220 ",No Strings Attached (2011),Comedy,Paramount,R,21-Jan-11
1 hrs. 47 min.,$15 million,"$13,843,771 ",One Day (2011),Romance,Focus Features,PG-13,19-Aug-11
1 hrs. 30 min.,$5 million,"$24,816,118 ",Our Idiot Brother (2011),Comedy,Weinstein Company,R,26-Aug-11
1 hrs. 28 min.,N/A,"$1,067,028 ",Page One: A Year Inside the New York Times (2011),Documentary,Magnolia,R,17-Jun-11
1 hrs. 21 min.,$5 million,"$104,028,807 ",Paranormal Activity 3 (2011),Horror,Paramount,R,21-Oct-11
1 hrs. 40 min.,$40 million,"$37,412,945 ",Paul (2011),Sci-Fi Comedy,Universal,R,18-Mar-11
1 hrs. 49 min.,N/A,"$471,334 ",Pearl Jam Twenty (2011),Documentary,Abramorama,Unrated,20-Sep-11
1 hrs. 19 min.,N/A,"$14,351 ",Peep World (2011),Comedy,IFC,R,25-Mar-11
1 hrs. 34 min.,N/A,"$48,764 ",The Perfect Host (2011),Thriller,Magnolia,R,1-Jul-11
2 hrs. 17 min.,$250 million,"$241,071,802 ",Pirates of the Caribbean: On Stranger Tides (2011),Period Adventure,Buena Vista,PG-13,20-May-11
1 hrs. 27 min.,$60 million,"$29,136,626 ",Priest (2011),Action Horror,Sony / Screen Gems,PG-13,13-May-11
1 hrs. 43 min.,$8 million,"$10,130,219 ",Prom (2011),Comedy / Drama,Buena Vista,PG,29-Apr-11
1 hrs. 39 min.,N/A,"$68,945 ",Puncture (2011),Drama,Millennium Ent.,R,23-Sep-11
1 hrs. 30 min.,$130 million,"$149,260,504 ",Puss in Boots (2011),Animation,Paramount (DreamWorks),PG,28-Oct-11
1 hrs. 47 min.,$135 million,"$123,477,607 ",Rango (2011),Animation,Paramount,PG,4-Mar-11
2 hrs. 7 min.,N/A,"$85,468,508 ",Real Steel (2011),Action Drama,Buena Vista,PG-13,7-Oct-11
1 hrs. 40 min.,$42 million,"$37,662,162 ",Red Riding Hood (2011),Drama / Thriller,Warner Bros.,PG-13,11-Mar-11
1 hrs. 37 min.,N/A,"$1,104,682 ",Red State (2011),Horror Thriller,SModcast Pictures,R,5-Mar-11
1 hrs. 40 min.,N/A,"$18,154 ",Restless (2000),Romance,Arrow Releasing,Unrated,3-Nov-00
1 hrs. 36 min.,$90 million,"$143,619,809 ",Rio (2011),Animation,Fox,G,15-Apr-11
1 hrs. 50 min.,$93 million,"$176,760,185 ",Rise of the Planet of the Apes (2011),Sci-Fi Action,Fox,PG-13,5-Aug-11
1 hrs. 52 min.,$37 million,"$33,047,633 ",The Rite (2011),Thriller,Warner Bros. (New Line),PG-13,28-Jan-11
1 hrs. 33 min.,$16 million,"$37,300,107 ",The Roommate (2011),Thriller,Sony / Screen Gems,PG-13,4-Feb-11
2 hrs. 0 min.,$45 million,"$13,109,815 ",The Rum Diary (2011),Adventure,FilmDistrict,R,28-Oct-11
1 hrs. 43 min.,$30 million,"$23,209,310 ",Sanctum (2011),Thriller,Universal,R,4-Feb-11
1 hrs. 43 min.,$40 million,"$38,180,928 ",Scream 4 (2011),Horror,Weinstein / Dimension,R,15-Apr-11
1 hrs. 38 min.,$40 million,"$24,827,228 ",Season of the Witch (2011),Period Action,Relativity,PG-13,7-Jan-11
1 hrs. 38 min.,N/A,"$4,373,074 ",Seven Days in Utopia (2011),Drama,Visio Entertainment,G,2-Sep-11
1 hrs. 35 min.,$25 million,"$18,877,153 ",Shark Night 3D (2011),Horror,Relativity,PG-13,2-Sep-11
2 hrs. 8 min.,N/A,"$186,848,418 ",Sherlock Holmes: A Game of Shadows (2011),Adventure,Warner Bros.,PG-13,16-Dec-11
1 hrs. 40 min.,$25 million,"$30,441,326 ",The Sitter (2011),Comedy,Fox,R,9-Dec-11
1 hrs. 38 min.,N/A,"$19,411 ",Skateland (2011),Drama,Freestyle Releasing,PG-13,13-May-11
1 hrs. 26 min.,$110 million,"$142,614,158 ",The Smurfs (2011),Family Comedy,Sony / Columbia,PG,29-Jul-11
2 hrs. 0 min.,$6 million,"$1,348,205 ",Snow Flower and the Secret Fan (2011),Historical Drama,Fox Searchlight,PG-13,15-Jul-11
1 hrs. 43 min.,$35 million,"$39,046,489 ",Something Borrowed (2011),Romantic Comedy,Warner Bros.,PG-13,6-May-11
1 hrs. 35 min.,N/A,"$30,680 ",The Son of No One (2011),Crime Thriller,Anchor Bay Films,R,4-Nov-11
1 hrs. 45 min.,$18 million,"$43,853,424 ",Soul Surfer (2011),Sports Drama,TriStar,PG,8-Apr-11
1 hrs. 34 min.,$32 million,"$54,712,227 ",Source Code (2011),Sci-Fi Thriller,Summit Entertainment,PG-13,1-Apr-11
1 hrs. 28 min.,$27 million,"$38,538,188 ",Spy Kids: All the Time in the World (2011),Family Adventure,Weinstein / Dimension,PG,19-Aug-11
2 hrs. 0 min.,$82 million,"$36,392,502 ",Sucker Punch (2011),Action,Warner Bros.,PG-13,25-Mar-11
1 hrs. 30 min.,$2.5 million,"$327,716 ",Super (2011),Comedy,IFC,R,1-Apr-11
1 hrs. 52 min.,$50 million,"$127,004,179 ",Super 8 (2011),Sci-Fi,Paramount,PG-13,10-Jun-11
1 hrs. 54 min.,N/A,"$6,928,068 ",Take Me Home Tonight (2011),Comedy,Relativity,R,4-Mar-11
2 hrs. 0 min.,$5 million,"$1,730,296 ",Take Shelter (2011),Drama,Sony Classics,R,30-Sep-11
1 hrs. 49 min.,N/A,"$45,469 ",Texas Killing Fields (2011),Crime Thriller,Anchor Bay Films,R,14-Oct-11
1 hrs. 55 min.,$150 million,"$181,030,624 ",Thor (2011),Action / Adventure,Paramount,PG-13,6-May-11
1 hrs. 44 min.,$75 million,"$78,046,570 ",Tower Heist (2011),Comedy,Universal,PG-13,4-Nov-11
2 hrs. 34 min.,$195 million,"$352,390,543 ",Transformers: Dark of the Moon (2011),Sci-Fi Action,Paramount (DreamWorks),PG-13,29-Jun-11
2 hrs. 18 min.,$32 million,"$13,303,319 ",The Tree of Life (2011),Drama,Fox Searchlight,PG-13,27-May-11
1 hrs. 42 min.,N/A,"$13,249,535 ",Trespass (1992),Action / Crime,Universal,R,25-Dec-92
1 hrs. 49 min.,$30 million,"$63,686,397 ",Unknown (2011),Drama / Thriller,Warner Bros.,PG-13,18-Feb-11
1 hrs. 34 min.,$5 million,"$25,517 ",Waiting for Forever (2011),Romance,Freestyle Releasing,PG-13,4-Feb-11
2 hrs. 19 min.,$25 million,"$13,657,115 ",Warrior (2011),Action,Lionsgate,PG-13,9-Sep-11
2 hrs. 0 min.,$38 million,"$58,709,717 ",Water for Elephants (2011),Drama,Fox,PG-13,22-Apr-11
1 hrs. 55 min.,N/A,"$4,430,765 ",The Way (2011),Adventure,Producers Distribution Agency,PG-13,7-Oct-11
2 hrs. 4 min.,N/A,"$75,624,550 ",We Bought a Zoo (2011),Comedy / Drama,Fox,PG,23-Dec-11
1 hrs. 46 min.,$20 million,"$14,011,084 ",What's Your Number? (2011),Comedy,Fox,R,30-Sep-11
1 hrs. 46 min.,N/A,"$10,179,275 ",Win Win (2011),Comedy,Fox Searchlight,R,18-Mar-11
1 hrs. 3 min.,$30 million,"$26,692,846 ",Winnie the Pooh (2011),Animation,Buena Vista,G,15-Jul-11
2 hrs. 11 min.,$160 million,"$146,408,305 ",X-Men: First Class (2011),Action / Adventure,Fox,PG-13,3-Jun-11
1 hrs. 34 min.,$12 million,"$16,311,571 ",Young Adult (2011),Comedy / Drama,Paramount,R,9-Dec-11
1 hrs. 42 min.,$49.9 million,"$21,596,445 ",Your Highness (2011),Comedy,Universal,R,8-Apr-11
1 hrs. 44 min.,$80 million,"$80,360,843 ",Zookeeper (2011),Comedy,Sony / Columbia,PG,8-Jul-11
1 hrs. 31 min.,N/A,"$633,210 ",2 Days in New York (2012),Comedy,Magnolia,R,10-Aug-12
1 hrs. 45 min.,N/A,"$1,562,546 ",A Late Quartet (2012),Drama,Entertainment One,R,2-Nov-12
1 hrs. 30 min.,N/A,"$534,100 ",Ai Weiwei: Never Sorry (2012),Documentary,IFC,R,27-Jul-12
1 hrs. 29 min.,N/A,Albatross (2012),Drama,IFC,Not Yet Rated,13-Jan-12,
2 hrs. 10 min.,N/A,"$12,816,367 ",Anna Karenina (2012),Drama,Focus Features,R,16-Nov-12
1 hrs. 40 min.,N/A,"$7,919,574 ",Arbitrage (2012),Drama,Roadside Attractions,R,14-Sep-12
1 hrs. 37 min.,N/A,"$24,036 ",Attenberg (2012),Foreign,Strand,Unrated,9-Mar-12
2 hrs. 30 min.,N/A,"$2,804,874 ",Barfi! (2012),Foreign,UTV Communications,Unrated,14-Sep-12
1 hrs. 26 min.,N/A,"$540,152 ",Being Flynn (2012),Comedy / Drama,Focus Features,R,2-Mar-12
1 hrs. 36 min.,N/A,Beneath the Darkness (2012),Horror,Image Entertainment,R,6-Jan-12,
1 hrs. 50 min.,N/A,"$56,491 ",Beyond the Black Rainbow (2012),Sci-Fi,Magnolia,R,18-May-12
1 hrs. 40 min.,$185 million,"$237,283,207 ",Brave (2012),Animation,Buena Vista,PG,22-Jun-12
1 hrs. 31 min.,N/A,"$3,094,813 ",Celeste and Jesse Forever (2012),Comedy / Drama,Sony Classics,R,3-Aug-12
1 hrs. 16 min.,N/A,"$1,328,467 ",Chasing Ice (2012),Documentary,Submarine Deluxe,PG-13,9-Nov-12
1 hrs. 32 min.,N/A,"$2,651 ",Cheerful Weather for the Wedding (2012),Romantic Comedy,IFC,PG,7-Dec-12
2 hrs. 44 min.,N/A,"$27,108,272 ",Cloud Atlas (2012),Sci-Fi,Warner Bros.,R,26-Oct-12
1 hrs. 28 min.,$1.5 million,"$34,665 ",Comic-Con Episode IV: A Fan's Hope (2012),Documentary,Wrekin Hill,PG-13,6-Apr-12
1 hrs. 30 min.,N/A,"$319,285 ",Compliance (2012),Drama / Thriller,Magnolia,R,17-Aug-12
2 hrs. 2 min.,N/A,"$757,195 ",Coriolanus (2012),Period Drama,Weinstein Company,R,20-Jan-12
1 hrs. 48 min.,N/A,"$763,556 ",Cosmopolis (2012),Drama,Entertainment One,R,17-Aug-12
1 hrs. 40 min.,N/A,"$1,832,541 ",Crooked Arrows (2012),Sports Drama,Branded/Peck Ent.,PG-13,18-May-12
1 hrs. 38 min.,N/A,"$1,008,455 ",Damsels in Distress (2012),Comedy,Sony Classics,PG-13,6-Apr-12
1 hrs. 43 min.,N/A,"$793,815 ",Darling Companion (2012),Comedy,Sony Classics,PG-13,20-Apr-12
1 hrs. 39 min.,N/A,"$18,369 ",Deadfall (1993),Unknown,Trimark,R,8-Oct-93
1 hrs. 50 min.,N/A,"$59,100 ",Declaration of War (2012),Foreign,IFC,Unrated,27-Jan-12
1 hrs. 33 min.,N/A,"$390,024 ",Detropia (2012),Documentary,Loki Films,Unrated,7-Sep-12
1 hrs. 32 min.,N/A,"$1,017,579 ",Diana Vreeland: The Eye Has to Travel (2012),Documentary,Samuel Goldwyn,PG-13,21-Sep-12
1 hrs. 23 min.,N/A,Don't Go in the Woods (2012),Horror,Tribeca Film,Unrated,13-Jan-12,
2 hrs. 13 min.,N/A,"$2,347,774 ",Ek Tha Tiger (2012),Foreign,Yash Raj,Unrated,15-Aug-12
1 hrs. 49 min.,$7 million,"$41,003,371 ",End of Watch (2012),Crime Drama,Open Road Films,R,21-Sep-12
1 hrs. 30 min.,N/A,"$1,014,071 ",First Position (2012),Documentary,IFC,Unrated,4-May-12
1 hrs. 43 min.,N/A,"$2,007,758 ",Footnote (2012),Foreign,Sony Classics,PG,9-Mar-12
1 hrs. 40 min.,N/A,"$7,251,073 ",Friends with Kids (2012),Comedy,Roadside Attractions,R,9-Mar-12
1 hrs. 50 min.,N/A,"$177,802 ",Fullmetal Alchemist: The Sacred Star of Milos (2012),Foreign,Eleven Arts,Unrated,20-Jan-12
1 hrs. 30 min.,$14 million,"$9,409,538 ",Fun Size (2012),Comedy,Paramount,PG-13,26-Oct-12
1 hrs. 32 min.,N/A,Fury (1936),Crime Drama,MGM,Unrated,29-May-36,
1 hrs. 25 min.,N/A,"$11,682,205 ",Gone (2012),Thriller,Lionsgate/Summit,PG-13,24-Feb-12
1 hrs. 31 min.,N/A,"$4,168,528 ",Goon (2012),Sports Comedy,Magnolia,R,24-Feb-12
1 hrs. 31 min.,N/A,"$14,056 ",Head Games (2012),Documentary,Variance Films,PG-13,21-Sep-12
1 hrs. 40 min.,N/A,"$1,200,010 ",Headhunters (2012),Thriller,Magnolia,R,27-Apr-12
1 hrs. 56 min.,N/A,Heleno (2012),Foreign,Screen Media,R,7-Dec-12,
1 hrs. 45 min.,N/A,"$45,290,318 ",Here Comes the Boom (2012),Comedy,Sony / Columbia,PG,12-Oct-12
1 hrs. 34 min.,N/A,"$6,376,145 ",Hyde Park on Hudson (2012),Drama,Focus Features,R,7-Dec-12
1 hrs. 40 min.,N/A,"$1,804,139 ",Hysteria (2012),Period Comedy,Sony Classics,R,18-May-12
2 hrs. 10 min.,$60 million,"$80,070,736 ",Jack Reacher (2012),Crime Drama,Paramount,PG-13,21-Dec-12
1 hrs. 35 min.,N/A,"$20,183 ",Jesus Henry Christ (2012),Comedy / Drama,Entertainment One,PG-13,20-Apr-12
1 hrs. 21 min.,N/A,"$2,552,478 ",Jiro Dreams of Sushi (2012),Foreign,Magnolia,PG,9-Mar-12
2 hrs. 12 min.,$250 million,"$73,078,100 ",John Carter (2012),Sci-Fi Adventure,Buena Vista,PG-13,9-Mar-12
1 hrs. 34 min.,$79 million,"$103,860,290 ",Journey 2: The Mysterious Island (2012),Adventure,Warner Bros. (New Line),PG,10-Feb-12
1 hrs. 58 min.,N/A,"$30,932,113 ",Joyful Noise (2012),Comedy / Drama,Warner Bros.,PG-13,13-Jan-12
1 hrs. 33 min.,N/A,"$22,826 ",Keyhole (2012),Thriller,"Monterey Media, Inc.",R,6-Apr-12
1 hrs. 43 min.,N/A,"$1,987,762 ",Killer Joe (2012),Comedy / Drama,LD Entertainment,NC-17,27-Jul-12
1 hrs. 30 min.,N/A,"$6,853 ",Last Ride (2012),Drama,Music Box Films,Unrated,29-Jun-12
1 hrs. 33 min.,N/A,"$20,998 ",Lay the Favorite (2012),Comedy,Radius-TWC,R,7-Dec-12
2 hrs. 25 min.,$65 million,"$182,207,973 ",Lincoln (2012),Historical Drama,Buena Vista,PG-13,9-Nov-12
1 hrs. 50 min.,$20 million,"$14,326,864 ",Lockout (2012),Sci-Fi Action,FilmDistrict,PG-13,13-Apr-12
1 hrs. 29 min.,N/A,"$252,603 ",Lola Versus (2012),Comedy,Fox Searchlight,R,8-Jun-12
1 hrs. 58 min.,$30 million,"$66,486,205 ",Looper (2012),Sci-Fi Action,TriStar,R,28-Sep-12
1 hrs. 39 min.,N/A,Lovely Molly (2012),"$18,464 ",Horror Thriller,Image Entertainment,R,18-May-12
1 hrs. 50 min.,$7 million,"$113,721,571 ",Magic Mike (2012),Comedy / Drama,Warner Bros.,R,29-Jun-12
1 hrs. 42 min.,$42 million,"$18,620,000 ",Man on a Ledge (2012),Thriller,Lionsgate/Summit,PG-13,27-Jan-12
1 hrs. 24 min.,N/A,"$36,280 ",Mansome (2012),Documentary,Paladin,PG-13,18-May-12
2 hrs. 25 min.,N/A,"$1,413,480 ",Marley (2012),Documentary,Magnolia,PG-13,20-Apr-12
